catid,"cat_name","cat_name_eng","cat_details","cat_details_eng",id_ext,stock,pos
201,"Faroles y Fuegos","","","",1,0,15
202,"Complementos de agua","","Fuentes, Pozos, Norias.","",1,0,16
200,"Mesas y sillas","","Diferentes tipos de mesas, sillas y taburetes de diferentes tamaños. En su elaboración utilizamos madera envejecida.","",1,0,14
199,"Puestos y tiendas","","Variado grupo de puestos de todo tipo y diferentes tamaños. Todos son de diseño propio y estan elaborados en nuestros talleres. La estructura es de madera y las miniaturas estan modeladas a mano.","",1,0,13
197,"Oficios","","Bancos de trabajo y talleres de diferentes oficios","",1,0,11
198,"Plantas","","Presentamos en esta categoria un amplio surtido de plantas de huerto, macetas, arboles y vegetación de todo tipo ","",1,0,12
196,"Herramientas","","Gran surtido de herramientas eleboradas con madera y metal. ","",1,0,10
194,"Recipientes de barro vidriado","","Todos las miniaturas de este grupo están vidriadas en diferentes colores, dando una nota alegre a los decorados.","",1,0,8
195,"Complementos varios","","","",1,0,9
193,"Recipientes de barro cocido.","","Extensa gama de recipientes de barro cocido, elaborados en el torno de alfarero de forma artesanal. Todos están envejecidos. Ofrecemos diferentes tamaños de una misma pieza.","",1,0,7
192,"Cestos",""," Gran surtido de cestos vacios.","",1,0,6
205,"Complementos animales","","En esta sección podra encontrar diversos utiles y accesorios para los ambientes de animales.","",1,0,19
191,"Menaje varios","","Agrupamos aquí miniaturas realizadas con diferentes materiales.","",1,0,5
190,"Menaje de metal","","Extenso grupo de artículos de gran utilidad para recrear todo tipo de ambientes y conseguir un gran realismo. El 80% son de diseño propio y están elaborados en nuestros talleres. ","",1,0,4
189,"Alimentos varios","","En este grupo encontramos, todo tipo de quesos, pescados, panes, etc. En su elaboración hemos empleado porcelana rusa, barro o resina.","",1,0,3
187,"Frutas y Verduras","","En esta categoria agrupamos gran variedad de frutas y verduras, las ofrecemos de forma individual y en cestos o cajas.
Se pueden utilizar para el huerto, mercados,decoración de ambientes,etc.
Los materiales que hemos empleado para su elaboración son porcelana rusa, barro o resina.","",1,0,1
188,"Embutidos","","Reunimos aqui diferentes variedades de embutidos típicos de nuestra cultura popular, se pueden utilizar para recrear ambientes de mercados, casas, matanza etc. Están modelados en nuestro taller con porcelana rusa y barro.","",1,0,2
203,"Animales ","","Agrupamos una colección de animales exclusivos, modelados a mano con barro.","",1,0,17
204,"Animales Manuel","","Los animales que ofrecemos en esta categorias, son de barro cocido. ","",1,0,18
206,"Animales resina","","","",1,0,20
207,"Construcciones hebreas","","Agrupamos casas y construcciones hebreas de diversos tamaños. Los materiales empleados para su elaboración son madera y pasta de escayola","",1,0,22
208,"Construcciones populares","","Grupo de casas y construcciones de estilo popular. Los tejados son de brezo y la estructura de madera, revestida con pasta de escayola.","",1,0,23
212,"Complementos construcción","","Agrupamos diversos materiales para emplearlos en la elaboración de construcciones artesanales.","",1,0,24
213,"Cabezones Alborox grupos 5-6cm","","Grupos diversos con figuras populares de barro cocido, pintadas a mano. La escala es de 5-6 cm. En esta categoria se venden en conjunto, puede encontrarlas por separado en otras categorias.","",1,5,25
214,"Niño Jesus y cunas","","","",4,0,28
215,"Montserrat Ribes Animales","","Todas las figuras son reproducciones de una escultura creada por Montserrat Ribes, moldeada mediante un proceso artesanal y pintada a mano en el taller de la propia escultora. Llevan la firma grabada.","",1,0,43
234,"Animales Barro Cabezones Alborox","","Animales diferentes tamaños, elaborados en barro y pintados a mano","",1,0,26
217,"Belén Pilar","","Pilar nos ofrece un Belén entrañable y divertido. Sus personajes emanan calidez y dulzura, la que su autora pone en la elaboración artesanal de estas piezas de cerámica.","",1,0,43
218,"Belenes Internacionales","","Grupo de variados belenes de diversos paises.","",1,0,44
219,"Belen Naif-Infantil","","","",1,0,45
220,"Imanes Belén","","","",4,0,46
221,"Dedales Belén","","","",4,0,47
222,"Complementos electricidad","","","",4,0,48
223,"Complementos montaje","","","",4,0,49
225,"Dedales de Colección","","","",4,0,51
226,"Cuadritos- Bolilleros","","","",4,0,52
228,"Belen Gitano Rociero Alborox 5-6 cm.","","figuras tradicionales Andaluzas de barro cocido.
Complementos diseñados y elaborados de forma artesanal en nuestro taller.","",1,0,27
229,"Figura moderna plástico","","Figuras de 5 y 8 cms.","",1,0,53
231,"Figura plástico clásica","","","",1,0,55
232,"Animales de plástico","","","",1,0,21
233,"Casa de Muñecas","","","",1,0,56
235,"Figuras Resina Clásica","","Figuras de diferentes colecciones y tamaños","",1,0,57
237,"Montserrat Ribes 9-10cm","","Todas las figuras son reproducciones de una escultura creada por Montserrat Ribes, moldeada mediante un proceso artesanal y pintada a mano en el taller de la propia escultora. Llevan la firma grabada.","",1,0,31
238,"Montserrat Ribes 12 cm","","Todas las figuras son reproducciones de una escultura creada por Montserrat Ribes, moldeada mediante un proceso artesanal y pintada a mano en el taller de la propia escultora. Llevan la firma grabada.","",1,0,32
239,"Montserrat Ribes 14 cm","","Todas las figuras son reproducciones de una escultura creada por Montserrat Ribes, moldeada mediante un proceso artesanal y pintada a mano en el taller de la propia escultora. Llevan la firma grabada.","",1,0,33
240,"Montserrat Ribes 15 cm","","Todas las figuras son reproducciones de una escultura creada por Montserrat Ribes, moldeada mediante un proceso artesanal y pintada a mano en el taller de la propia escultora. Llevan la firma grabada.","",1,0,34
241,"Montserrat Ribes 17 cm","","Todas las figuras son reproducciones de una escultura creada por Montserrat Ribes, moldeada mediante un proceso artesanal y pintada a mano en el taller de la propia escultora. Llevan la firma grabada.","",1,0,35
242,"Montserrat Ribes 20 cm","","Todas las figuras son reproducciones de una escultura creada por Montserrat Ribes, moldeada mediante un proceso artesanal y pintada a mano en el taller de la propia escultora. Llevan la firma grabada.","",1,0,38
243,"Montserrat Ribes 22-30 cm","","Todas las figuras son reproducciones de una escultura creada por Montserrat Ribes, moldeada mediante un proceso artesanal y pintada a mano en el taller de la propia escultora. Llevan la firma grabada.","",1,0,40
246,"Monserrat Ribes Figuras 12-18 cm","","Todas las figuras son reproducciones de una escultura creada por Montserrat Ribes, moldeada mediante un proceso artesanal y pintada a mano en el taller de la propia escultora. Llevan la firma grabada.","",1,0,36
247,"Monserrat Ribes Figuras 14-17 cm","","Todas las figuras son reproducciones de una escultura creada por Montserrat Ribes, moldeada mediante un proceso artesanal y pintada a mano en el taller de la propia escultora. Llevan la firma grabada.","",1,0,37
248,"Monserrat Ribes Figuras 15-20 cm","","Todas las figuras son reproducciones de una escultura creada por Montserrat Ribes, moldeada mediante un proceso artesanal y pintada a mano en el taller de la propia escultora. Llevan la firma grabada.","",1,0,39
